"","IDy","ID_Parcelle","type_prod","Autres outils","Charrue","Outil à dents","Outil à disques","Outil rotatif","Pas de travail du sol","nb_tot_trav_sol","Fertilisation (autre)","Fertilisation minérale","Fertilisation organique","Fertilisation organo-minérale","Pas de fertilisation","nb_tot_ferti","tot_azote","Désherbage complet","Désherbage partiel","Désherbage sélectif","Enherbement total","Information inconnue.x","Pas de désherbage","nb_tot_herb","N_trait","N_trait_k","N_missing","IFT_herbi","IFT_insec","IFT_fongi","IFT_tot","IFT_tot2","Animaux de pâture","Autres (non chimiques)","Broyage ou tonte sans ramassage","Fauchage avec exportation des fauches","Fauchage sans exportation des fauches","Herbicide non sélectif de contact","Herbicide non sélectif systémique","Herbicide sélectif antidicotylédones","Herbicide sélectif antigraminées","Information inconnue.y","Intervention chimique (indéfini)","Intervention mécanique (indéfini)","Pas d'intervention","Tonte avec ramassage","nb_tot_int","nb_int_non_ch","nb_int_chim"
"41","104_2016",104,"Conventionnel",0,0,2,1,0,0,3,0,6,0,0,0,6,225,0,0,1,0,0,0,1,19,19,0,4.43333333333333,1.19277108433735,0,5.99753298909925,5.62610441767068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","104_2017",104,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,4,0,0,0,4,190,NA,NA,NA,NA,NA,NA,NA,15,10,5,8,0,3.21187969924812,11.2118796992481,11.2118796992481,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"43","105_2012",105,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","105_2013",105,"Conventionnel",0,1,1,0,2,0,4,0,2,0,0,0,2,92,0,0,1,0,0,0,1,8,8,0,2,0,2.83333333333333,4.90833333333333,4.83333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"45","105_2014",105,"Conventionnel",0,1,0,0,1,0,2,0,1,0,0,0,1,112,0,0,1,0,0,0,1,20,20,0,0.75,9,0,9.75,9.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"46","105_2015",105,"Conventionnel",0,1,1,0,0,0,2,0,1,0,0,0,1,40,0,0,0,0,0,1,0,2,2,0,1.66,0,0,1.66,1.66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"47","105_2016",105,"Conventionnel",0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","105_2017",105,"Conventionnel",0,0,1,0,1,0,2,0,1,0,0,0,1,56,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"49","106_2012",106,"Conventionnel",0,1,0,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,0,6.28095238095238,0,0,6.28095238095238,6.28095238095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","106_2013",106,"Conventionnel",0,0,0,1,0,0,1,0,3,0,0,0,3,111,0,0,2,0,0,0,2,4,4,0,1.6,0,0,1.6,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
